Display Name,Category,Cost,Image Name,Short description,Long Description
GT Men’s Aggressor Pro Mountain Bike,Cycling/Biking,$500.00,GT Men’s Aggressor Pro Mountain Bike,,"The GT® Men's Aggressor Pro Mountain Bike is the answer for rocky terrain, winding singletracks, and anything else that comes your way on the dirt trails. Constructed with a 6061-T6 Aluminum Triple Triangle Frame and a SR Suntour XCT fork, the Aggressor Pro delivers optimal durability and handling. Easily transition through different elevations with the Shimano drivetrain and 8-speed shifter."
Schwinn Signature Men's Fremont Hybrid Bike,Cycling/Biking,$420.00,Schwinn Signature Men's Fremont Hybrid Bike,,"Set and accomplish all your biking fitness goals with the Schwinn Adult Fremont Hybrid Bike. The aluminum frame is lightweight and durable, and features front suspension to absorb impact from bumps. The Fremont is equipped with 21 speeds, linear pull brakes, and Shimano EZ-Fire shifters. The memory foam cushioned seat and suspension seat post provides maximum comfort on every ride."
Louis Garneau Men's Gel Cycling Shorts,Cycling/Biking,$40.00,Louis Garneau Men's Gel Cycling Shorts,,"The Louis Garneau® Men’s GEL Cycling Shorts deliver a comfortable and supportive fit that will make these shorts a staple piece in your cycling gear. The moisture wicking properties keep you cool and dry, while the Active GEL Chamois offers great rides at all levels.  TECHNOLOGY: Signature Mat fabric provides support and breathability UPF/SPF 50+ Rating DESIGN: Anatomical design keeps the short in place while in the riding position Adjustable drawstring waistband Silicone leg grippers keep the shorts in place Anti-chafing seams for total comfort Men’s Active GEL Chamois gives you the right amount of cushion without weighing you down and making your ride uncomfortable Reflective logos for added visibility"
ZOIC Men's Long Cycling Socks,Cycling/Biking,$14.00,ZOIC Men's Long Cycling Socks,,"For extra coverage on muddy trails or wet roads, wear the ZOIC® Men’s Long Cycling Socks on your next ride. These bike socks are made with 82% polyester and 18% spandex for a comfortable fit that forms to the shape of your feet. Its calf-high length keeps your leg protected from dirt and grime. Emblazoned with the ZOIC® logo on the top arch and cuff, these cycling socks features a no-fuss design. Pedal onward in the ZOIC® Long Cycling Socks.  FEATURES:  Men’s bike socks Ideal for riding on wet trails and roads Features ZOIC® logo on top arch and cuff Designed for a comfortable fit that forms to your feet Calf-high length protects your legs from mud and water"
Louis Garneau Men's Biogel RX-V Cycling Gloves,Cycling/Biking,$21.00,Louis Garneau Men's Biogel RX-V Cycling Gloves,,"Keep your hands cool, dry, and protected while riding the blacktop by slipping on a pair of Louis Garneau® Men's Biogel RX-V Cycling Gloves. The palm of each LG glove features Biogel® padding that reduces pressure and external vibrations on the nerves in your hands, as well as Ergo Air® X-Vent technology that bolsters moisture wicking and temperature control. The RX-V cycling gloves will help you stay cool and maintain a strong grip.  FEATURES:  Comfortable, breathable cycling gloves Biogel® padding decreases nerve discomfort Ergo Air® X-Vent technology keeps comfortable temperature and hands dry Microfiber thumb effectively absorbs moisture Adjustable ergonomic cuff provides customizable fit to wrist Palm Fabric: Amara / Upper-Hand Fabric: Power mesh and Spandex Louis Garneau"
Giro Adult Revel Bike Helmet,Cycling/Biking ,$40.00,Giro Adult Revel Bike Helmet,,"Whether you’re commuting downtown or winding trails, the Giro® Revel Bike Helmet is up to the task. Designed with a full coverage polycarbonate shell and 22 vents, the Revel delivers superior protection and ventilation. Its Acu Dial™ Fit system has a full fit band that can be adjusted with one hand mid-ride if necessary. The snap fit visor reduces glare as you ascend downhill. The Revel is the perfect complement to any ride.  FEATURES: Equipped for trail and road riding Features a full-coverage shell for maximum protection Snap fit visor with reinforced anchor points keeps the sun out of your eyes Acu Dial™ Fit system has a full fit band and allows for single-handed adjustment Reflective rear decal enhances safety in low light conditions Ventilation: 22 vents Construction: In-mold polycarbonate shell with EPS liner Giro suggested use: Recreation"
Eagle Claw Bass Tackle Kit - 55 Pieces,Fishing ,$17.00,Eagle Claw Bass Tackle Kit - 55 Pieces,,"Dedicated anglers are prepared for a full day of fishing action with the Eagle Claw® Bass Tackle Kit. This 55-piece kit is loaded with bells, swivels, hooks, and sinkers. It also features a poly stringer and a line clipper. The reusable tackle box is easy to transport, and allows the angler to neatly organize their gear. Catch the bass of a lifetime with the Eagle Claw Bass Tackle Kit.  FEATURES: Bass fishing starter kit Easy-to-carry, reusable tackle box Contains bells, swivels, sinkers, hooks, and floaters Includes poly stringer and a line clipper Pack Qty: 55 p"
Thomas Lures Colorado Minnow Spoon,Fishing ,$4.00,Thomas Lures Colorado Minnow Spoon,,"By perfectly imitating a baitfish, the Thomas Lures Colorado Minnow Spoon attracts all types of gamefish, especially Trout. This wobbler-type spoon was made with jewelry-quality, highly reflective two-tone coloration, and its engraved scales provide a life-like appearance. Sharply twitch the end of the rod to generate explosive strikes.  FEATURES: Made with jewelry-quality, highly reflective two-tone coloration Engraved scales Sharply twitch the end of the rod to create a wobble action Use a slow stop-and-go retrieve Attracts all types of gamefish, especially Trout"
Aquatic Nutrition Mojo Menhaden Oil Fish Attractant,Fishing ,$18.00,Aquatic Nutrition Mojo Menhaden Oil Fish Attractant,,"Add an irresistible scent to the water with Aquatic Nutrition Mojo Menhaden Oil Fish Attractant. This mixtures uses 100% pure Mojo Menhaden Oil that will draw both offshore and inshore species to your area. Just drip it in the water, soak it in your baits, use it to coat lures, or mix it with homemade chum. In addition, the Mojo Menhaden Oil Fish Attractant requires no refrigeration, making it convenient for storage.  FEATURES: 100% pure Menhaden oil Adds an irresistible scent to the water to attract fish and trigger strikes Drip it in the water, soak it in your baits, use it to coat lures, or mix it with homemade chum Great for offshore and inshore species such as kingfish, stripers, shark, and tuna Refrigeration is not required Size: 1 quart Model: MENHADENQT"
Berkley Gulp! Alive! Fish Attractant,Fishing ,$9.00,Berkley Gulp! Alive! Fish Attractant,,The Berkley® Gulp! Alive!® Fish Attractant will make the fish go crazy when sprayed on your bait. This attractant works like a “blood trail” to lure in any nearby fish and enhance the effectiveness of your bait. Use on any and all of your bait after each use to make it taste and smell alive for your next catch.  FEATURES:  Spray on bait to make bait taste and smell alive Holds fish with taste Trigger spray bottle has a stream or spray option Weight: 8 oz. Model: GSP8 Berkley
Shimano Curado DC Baitcasting Reel,Fishing ,$250.00,Shimano Curado DC Baitcasting Reel,,"The Shimano® Curado DC Baitcasting Reel delivers dependable durability and versatility expected from a quality reel. Designed with Digital Control braking technology, this system uses a microcomputer to monitor spool speed up to 1,000 times every second to apply the ideal amount of brake and prevent backlash, while maximizing the distance. Less thumbing and easy casting makes the Shimano Curado DC Baitcaster perfect for newer and experienced anglers alike.  FEATURES: Digital Control braking system Prevents backlash and maximizes distance Trouble-free casting Good for anglers of all skill levels Hagane Body CI4+ Cross Carbon Drag Micromodule gearing 1 year warranty"
Shimano SLX DC Baitcasting Reel,Fishing ,$190.00,Shimano SLX DC Baitcasting Reel,,The Shimano® SLX DC Baitcasting Reel is low profile and built with the same compact and versatile design as the original SLX reel. This enhanced version features DC braking technology that allows you to fish a variety of lures in all conditions while making minimal adjustments to the reel itself. Enjoy the same level of smoothness with the SLX DC Baitcaster.  FEATURES: Low profile baitcast reel HAGANE Body design with high rigidity that virtually eliminates body flexing I-DC4 Intelligent Digital Control braking system with a 4-setting adjustable brake dial Super Free Spool eliminates friction on the spool shaft during casting Shimano Stable Spool Design technology significantly reduces spool vibration
Giro Adult Bevel Snow Helmet,Winter Sports,$39.00,Giro Adult Bevel Snow Helmet,,"Get ready to hit the park and trails with the Giro® Adult Bevel Snow Helmet. This helmet features In Form™ technology for easy adjustments to most goggles and head shapes for an awesome fit. The Super Cool™ vents help pull cool, fresh air into the helmet and push hot, stale air out to keep you comfy on the slopes. A hardshell construction is durable enough for the many seasons ahead!  FEATURES: Adult fit Designed with rider input Super Fit™ engineered for a snug, secure fit while riding In Form™ sizing allows for a dial-in, custom fit Glove-friendly size dial 8 Super Cool™ vents push hot air out and vent cool air in Innovative Stack Vent™ system aligns with the center vent to keep goggles clear and free of fog Ventilation systems allow goggles an anti-fog wear Compliance: ASTM F2040 / CE EN1077 Hard, durable exterior shell EPS foam liner for a comfort fit"
Giro Adult Verge Zoom Snow Goggles,Winter Sports,$20.00,Giro Adult Verge Zoom Snow Goggles,,"Made for a better view, the Giro® Adult Verge Zoom Snow Goggles deliver awesome features with great performance. You’ll love the Expansion View technology for a wider field of view, while the thermoformed lenses team up with anti-fog coating for a clear, optimal view. A mid-size frame with plush foam keeps you comfortable all season long.  FEATURES:  Medium-sized, adult frame Expansion View technology creates a wider field of view Thermoformed cylindrical lens optimizes clarity Anti-fog coating for a crystal clear view Plush, tailored face foam for a comfortable fit Helmet compatible design Use spec chart to determine VLT (Visible Light Transmission) Range and Recommended Conditions for main lens color"
DC Shoes Youth Ply Mini 2018-2019 Snowboard,Winter Sports,$260.00,DC Shoes Youth Ply Mini 2018-2019 Snowboard,,"Made for young riders, the DC Shoes® Youth Ply Mini Snowboard delivers a flat, true twin shape that’s easy to turn. He or she will love the “up the middle” flex style of this board. The Ply Mini is great for gromers!  FEATURES: For youth riders Terrain: gromers Flex: 5 (out of 10) Easily turns for an awesome ride Flat camber profile Shape: symmetrical for riding either regular or switch True twin 3° bevel Base primary/secondary colors may vary Manufacturer's one-year warranty "
High Sierra Trapezoid Boot Bag,Winter Sports,$60.00,High Sierra Trapezoid Boot Bag,,"The High Sierra® Trapezoid Boot Bag will help you get your gear to your snow destination, whether it’s across the street or across the world. The large main compartment holds one pair of ski or snowboard boots up to a men's size 13. A zippered front accessory pokcet, top pocket and side mesh pocket give you additional space to stash gear like hats, gloves and goggles. Adjustable padded backpack straps and a grab handle make it easy to carry.  Features: Large top-loading main compartment holds one pair of skiing or snowboarding boots up to men's size 13 Main compartment features ventilation/drainage grommets Zippered front accessory pocket is perfect for hats, gloves and other accessories Zippered pocket on top of the lid can hold goggles & other accessories for quick access Side mesh pocket for additional gear Meets airline sizing requirements Adjustable padded backpack straps Top padded grab handle Manufacturer's lifetime guarantee Style #: S5103"
CamelBak Zoid 70 oz. Ski and Snow Hydration Pack,Winter Sports,$70.00,CamelBak Zoid 70 oz. Ski and Snow Hydration Pack,,"Maximize your ride time on the slopes with the low-profile CamelBak® Zoid 70 oz. Ski and Snow Hydration Pack! This slim pack is designed to be worn over or under your jacket and securely holds 2 liters of water for optimal hydration on the go. Its Therminator™ harness features an insulated drink tube and zip away easily into the shoulder strap, keeping it protected and out of your way as your conquer the slopes this season!  FEATURES: Perfect for hydrating on-the-go in cold weather Lift-friendly, low-profile ski and snow hydration pack Securely holds 2 liters of water for refreshments on the go Crux™ Reservoir Quicklink™ System holds 2 liters of water Slim pack designed to wear over or under your jacket Therminator™ harness features insulated drink tube and zips away into shoulder strap Snowshed™ back panel keeps powder from building up on your pack Adjustable sternum strap for a custom, comfortable fit Includes two (2) small pockets for storing small accessories Secure zipped pocket ensures security of pack items Total Pack Capacity: 3 liters / 180 cu in"
Nike Youth Home Jersey Baltimore Ravens Justin Tucker #9,Baltimore Raven,$75.00,Nike Youth Home Jersey Baltimore Ravens Justin Tucker #9,,"Let your little Raven cheer on one of the league’s greatest kickers as he puts points on the board with the Nike® Baltimore Ravens Justin Tucker #9 Home Jersey.  Lightweight, Athletic-Fit Tailored look and clean-finish seams Strategic, mesh-ventilation side panels Tagless neck label Fits youth sizes: 8-20 Screen-Printed Team Graphics Screen-printed name, numbers and logos Stitched down NFL Shield at the neckline Satin twill, woven jock tag Additional Details Machine washable, cold Officially licensed by the NFL"
New Era Men's Baltimore Ravens Sideline Road 39Thirty Stretch Fit Hat,Baltimore Raven,$26.00,New Era Men's Baltimore Ravens Sideline Road 39Thirty Stretch Fit Hat,,"Let everyone know that Ravens fans travel! Celebrate your team, whether you’re home or on the road, with the New Era® Baltimore Ravens Sideline Road 39Thirty® Stretch Fit Hat.  Curved Brim, Stretch-Fit Cap Six-panel construction with ventilation eyelets and button top Moisture-absorbing sweatband Raised, Embroidered Team Graphics Team logo embroidered on the crown Team logo patch and establishment date on the side 100th NFL season patch on the back Additional Details Officially licensed by the NFL"
47 Boys' Baltimore Ravens Basic MVP Kid Black Hat,Baltimore Raven,$15.00,47 Boys' Baltimore Ravens Basic MVP Kid Black Hat,,"Help your youngster bring home the MVP as they celebrate their team in style with the ‘47® Baltimore Ravens Basic MVP Kid Hat.  Curved Brim, Adjustable Cap Hook-and-loop back closure Six-panel construction with ventilation eyelets and button top Moisture-absorbing sweatband One size fits most Raised, Embroidered Team Graphics Team logo embroidered on the crown "
Northwest Baltimore Ravens Blanket,Baltimore Raven,$20.00,Northwest Baltimore Ravens Blanket,,"Stay warm as you cheer on your favorite team through the season with the Northwest® Baltimore Ravens Blanket.  Plush Blanket Team graphics Designed in team colors Plush, soft material Additional Details Dimensions: 50” x 60” Machine washable Officially licensed by the NFL"
